partition,horizon,precision,recall,threshold
val_calib,10,0.05620848237097598,1.0,2.9211412280756984e-16
val_calib,10,0.05623721881390593,1.0,3.427272156758555e-16
val_calib,10,0.056265984654731455,1.0,4.801936422750574e-16
val_calib,10,0.05629477993858751,1.0,5.74164194057504e-16
val_calib,10,0.05632360471070148,1.0,5.806682860438359e-16
val_calib,10,0.05635245901639344,1.0,6.09118680787391e-16
val_calib,10,0.056381342901076374,1.0,6.340230904167176e-16
val_calib,10,0.05641025641025641,1.0,6.347741683359378e-16
val_calib,10,0.05643919958953309,1.0,6.569926441236287e-16
val_calib,10,0.05646817248459959,1.0,7.937387784886143e-16
val_calib,10,0.05649717514124294,1.0,8.854175165465278e-16
val_calib,10,0.0565262076053443,1.0,1.1285630327131328e-15
val_calib,10,0.056555269922879174,1.0,1.1484754660534763e-15
val_calib,10,0.056584362139917695,1.0,1.2193280040379906e-15
val_calib,10,0.056613484302624806,1.0,1.2533608944954597e-15
val_calib,10,0.05664263645726056,1.0,1.2680445257513484e-15
val_calib,10,0.05667181865018032,1.0,1.2908245161734668e-15
val_calib,10,0.05670103092783505,1.0,1.321344669976419e-15
val_calib,10,0.05673027333677153,1.0,1.3510601823328081e-15
val_calib,10,0.05675954592363261,1.0,1.374813288232581e-15
val_calib,10,0.05678884873515746,1.0,1.4223554378253015e-15
val_calib,10,0.056818181818181816,1.0,1.4278798729082784e-15
val_calib,10,0.056847545219638244,1.0,1.4654093741472276e-15
val_calib,10,0.05687693898655636,1.0,1.4921357531162082e-15
val_calib,10,0.056906363166063116,1.0,1.552166217542899e-15
val_calib,10,0.056935817805383024,1.0,1.5750033737198455e-15
val_calib,10,0.05696530295183842,1.0,1.612785718541899e-15
val_calib,10,0.05699481865284974,1.0,1.6763695161849564e-15
val_calib,10,0.05702436495593572,1.0,1.7267189009682325e-15
val_calib,10,0.05705394190871369,1.0,1.735184256592382e-15
val_calib,10,0.05708354955889985,1.0,1.8403687375837405e-15
val_calib,10,0.05711318795430945,1.0,1.90687130408064e-15
val_calib,10,0.05714285714285714,1.0,1.9784036182593044e-15
val_calib,10,0.057172557172557176,1.0,1.983238463763877e-15
val_calib,10,0.05720228809152366,1.0,1.9839087698397107e-15
val_calib,10,0.05723204994797086,1.0,1.991576067511989e-15
val_calib,10,0.05726184279021343,1.0,2.052848065070287e-15
val_calib,10,0.057291666666666664,1.0,2.0543081313466952e-15
val_calib,10,0.0573215216258468,1.0,2.086308892996531e-15
val_calib,10,0.05735140771637122,1.0,2.183373088315088e-15
val_calib,10,0.05738132498695879,1.0,2.2400735007202145e-15
val_calib,10,0.05741127348643006,1.0,2.261541449000357e-15
val_calib,10,0.057441253263707574,1.0,2.294163678531801e-15
val_calib,10,0.05747126436781609,1.0,2.3049681793172574e-15
val_calib,10,0.057501306847882905,1.0,2.3625291665291437e-15
val_calib,10,0.05753138075313807,1.0,2.4103014222461346e-15
val_calib,10,0.0575614861329147,1.0,2.463610174437136e-15
val_calib,10,0.05759162303664921,1.0,2.517135165018808e-15
val_calib,10,0.057621791513881616,1.0,2.5787550950888106e-15
val_calib,10,0.057651991614255764,1.0,2.5949631056403268e-15
val_calib,10,0.05768222338751967,1.0,2.6449993883870353e-15
val_calib,10,0.05771248688352571,1.0,2.6827789687296077e-15
val_calib,10,0.05774278215223097,1.0,2.7184830109811854e-15
val_calib,10,0.05777310924369748,1.0,2.7301172814922164e-15
val_calib,10,0.057803468208092484,1.0,2.7639761605853816e-15
val_calib,10,0.05783385909568875,1.0,2.7860906473340073e-15
val_calib,10,0.057864281956864806,1.0,2.8517196426147605e-15
val_calib,10,0.05789473684210526,1.0,3.045222577627622e-15
val_calib,10,0.057925223802001054,1.0,3.0720380624542588e-15
val_calib,10,0.05795574288724974,1.0,3.148804473680141e-15
val_calib,10,0.05798629414865577,1.0,3.2805207167325758e-15
val_calib,10,0.0580168776371308,1.0,3.3627150091847975e-15
val_calib,10,0.05804749340369393,1.0,3.539964696632866e-15
val_calib,10,0.05807814149947202,1.0,3.5705035054293006e-15
val_calib,10,0.05810882197569995,1.0,3.596529757082463e-15
val_calib,10,0.05813953488372093,1.0,3.614850946951069e-15
val_calib,10,0.05817028027498678,1.0,3.747141274489762e-15
val_calib,10,0.0582010582010582,1.0,3.775747963207179e-15
val_calib,10,0.058231868713605084,1.0,3.831749401678626e-15
val_calib,10,0.05826271186440678,1.0,3.847656445982531e-15
val_calib,10,0.05829358770535241,1.0,3.9075958980311244e-15
val_calib,10,0.05832449628844114,1.0,4.009288159499144e-15
val_calib,10,0.058355437665782495,1.0,4.021016461126065e-15
val_calib,10,0.058386411889596604,1.0,4.030833457585221e-15
val_calib,10,0.058417419012214554,1.0,4.077697316229676e-15
val_calib,10,0.05844845908607864,1.0,4.186730980071362e-15
val_calib,10,0.05847953216374269,1.0,4.260764919192601e-15
val_calib,10,0.05851063829787234,1.0,4.295814862080994e-15
val_calib,10,0.05854177754124534,1.0,4.442453909397452e-15
val_calib,10,0.058572949946751864,1.0,4.4493254896241126e-15
val_calib,10,0.05860415556739478,1.0,4.459264396281833e-15
val_calib,10,0.05863539445628998,1.0,4.532774762286272e-15
val_calib,10,0.058666666666666666,1.0,4.617463570974135e-15
val_calib,10,0.05869797225186766,1.0,4.633960774529487e-15
val_calib,10,0.05872931126534971,1.0,4.983051058606479e-15
val_calib,10,0.05876068376068376,1.0,5.089451294581185e-15
val_calib,10,0.05879208979155532,1.0,5.2644002356304995e-15
val_calib,10,0.058823529411764705,1.0,5.268930651954591e-15
val_calib,10,0.05885500267522739,1.0,5.331392391872214e-15
val_calib,10,0.058886509635974305,1.0,5.348134542929728e-15
val_calib,10,0.05891805034815212,1.0,5.493127377751405e-15
val_calib,10,0.05894962486602358,1.0,5.604719387949898e-15
val_calib,10,0.058981233243967826,1.0,5.7611509593699604e-15
val_calib,10,0.059012875536480686,1.0,5.883476882355248e-15
val_calib,10,0.059044551798174985,1.0,6.020050992547275e-15
val_calib,10,0.05907626208378088,1.0,6.059619206695735e-15
val_calib,10,0.05910800644814616,1.0,6.2402862207001245e-15
val_calib,10,0.05913978494623656,1.0,6.370260223397378e-15
val_calib,10,0.05917159763313609,1.0,6.4928526094855105e-15
val_calib,10,0.059203444564047365,1.0,6.501634292034819e-15
val_calib,10,0.05923532579429187,1.0,6.52048166623242e-15
val_calib,10,0.059267241379310345,1.0,6.571544819775305e-15
val_calib,10,0.05929919137466307,1.0,6.8597239526366566e-15
val_calib,10,0.0593311758360302,1.0,6.877153482541293e-15
val_calib,10,0.05936319481921209,1.0,6.9018887453475375e-15
val_calib,10,0.05939524838012959,1.0,7.071772307459893e-15
val_calib,10,0.05942733657482442,1.0,7.09811291148265e-15
val_calib,10,0.05945945945945946,1.0,7.466179532959552e-15
val_calib,10,0.05949161709031909,1.0,7.681326150719119e-15
val_calib,10,0.05952380952380952,1.0,7.734244231919734e-15
val_calib,10,0.05955603681645912,1.0,7.825562188327649e-15
val_calib,10,0.059588299024918745,1.0,8.183726716915946e-15
val_calib,10,0.05962059620596206,1.0,8.210009003970079e-15
val_calib,10,0.0596529284164859,1.0,8.644301773064356e-15
val_calib,10,0.05968529571351058,1.0,8.77839961947842e-15
val_calib,10,0.05971769815418024,1.0,8.948395503095874e-15
val_calib,10,0.05975013579576317,1.0,9.378644410031852e-15
val_calib,10,0.059782608695652176,1.0,9.421816535527874e-15
val_calib,10,0.059815116911364874,1.0,9.52047009078283e-15
val_calib,10,0.05984766050054407,1.0,9.52428705817701e-15
val_calib,10,0.059880239520958084,1.0,9.753451628614317e-15
val_calib,10,0.05991285403050109,1.0,9.947106015656451e-15
val_calib,10,0.05994550408719346,1.0,1.0214374689075087e-14
val_calib,10,0.05997818974918211,1.0,1.0285577959976849e-14
val_calib,10,0.06001091107474086,1.0,1.0348243551170361e-14
val_calib,10,0.060043668122270744,1.0,1.039319291635227e-14
val_calib,10,0.060076460950300385,1.0,1.0445488520371439e-14
val_calib,10,0.060109289617486336,1.0,1.0530689102201862e-14
val_calib,10,0.06014215418261345,1.0,1.0705846649105448e-14
val_calib,10,0.060175054704595186,1.0,1.129682318851231e-14
val_calib,10,0.060207991242474,1.0,1.2411183323580191e-14
val_calib,10,0.060240963855421686,1.0,1.3960236541053006e-14
val_calib,10,0.06027397260273973,1.0,1.4874302192397835e-14
val_calib,10,0.06030701754385965,1.0,1.5060420812532827e-14
val_calib,10,0.06034009873834339,1.0,1.5091118407325248e-14
val_calib,10,0.06037321624588365,1.0,1.5104293873805612e-14
val_calib,10,0.06040637012630423,1.0,1.5570541185676697e-14
val_calib,10,0.06043956043956044,1.0,1.604272875169752e-14
val_calib,10,0.060472787245739415,1.0,1.6578208054804595e-14
val_calib,10,0.06050605060506051,1.0,1.68225496874503e-14
val_calib,10,0.06053935057787562,1.0,1.7871094936171998e-14
val_calib,10,0.0605726872246696,1.0,1.8277990122523472e-14
val_calib,10,0.06060606060606061,1.0,1.840228150520551e-14
val_calib,10,0.06063947078280044,1.0,1.8437271213026315e-14
val_calib,10,0.06067291781577496,1.0,1.899973628322708e-14
val_calib,10,0.06070640176600441,1.0,1.9832151676959064e-14
val_calib,10,0.060739922694643844,1.0,2.1742097087307542e-14
val_calib,10,0.06077348066298342,1.0,2.2354506848697356e-14
val_calib,10,0.06080707573244887,1.0,2.2397379781383406e-14
val_calib,10,0.06084070796460177,1.0,2.282518917006888e-14
val_calib,10,0.06087437742114001,1.0,2.5878735382307557e-14
val_calib,10,0.06090808416389812,1.0,2.6372526727690635e-14
val_calib,10,0.060941828254847646,1.0,2.8448152219680905e-14
val_calib,10,0.06097560975609756,1.0,2.913019689014029e-14
val_calib,10,0.06100942872989462,1.0,3.0691600192938334e-14
val_calib,10,0.06104328523862375,1.0,3.1594665071320315e-14
val_calib,10,0.06107717934480844,1.0,3.169067361887918e-14
val_calib,10,0.06111111111111111,1.0,3.263721283131804e-14
val_calib,10,0.061145080600333516,1.0,3.2719135806389675e-14
val_calib,10,0.06117908787541713,1.0,3.5324150387348355e-14
val_calib,10,0.06121313299944352,1.0,3.7045325195302844e-14
val_calib,10,0.061247216035634745,1.0,3.735048098269819e-14
val_calib,10,0.06128133704735376,1.0,3.767360709694665e-14
val_calib,10,0.06131549609810479,1.0,3.971623075376654e-14
