replicate_id,n_engine_draws,n_unique_engines_in_draw,mean_total_cost,miss_rate,mean_miss_component,mean_late_component,mean_early_component,mean_raw_late_delay,mean_raw_early_burden,mean_lead_time_alerted,median_lead_time_alerted,healthy_first_trigger_fraction
584,10,5,0.6333333333333333,0.0,0.0,0.0,0.6333333333333333,0.0,27.4,57.4,53.0,0.0
585,10,6,0.5666666666666667,0.0,0.0,0.0,0.5666666666666667,0.0,21.2,51.2,45.5,0.0
586,10,7,0.7366666666666666,0.0,0.0,0.0,0.7366666666666666,0.0,38.3,68.3,80.5,0.0
587,10,6,0.6466666666666667,0.0,0.0,0.0,0.6466666666666667,0.0,22.4,52.4,54.0,0.0
588,10,7,0.77,0.0,0.0,0.0,0.77,0.0,34.3,64.3,63.5,0.0
589,10,7,0.6599999999999999,0.0,0.0,0.0,0.6599999999999999,0.0,29.2,59.2,63.5,0.0
590,10,4,0.5733333333333333,0.0,0.0,0.0,0.5733333333333333,0.0,17.2,47.2,53.0,0.0
591,10,8,0.4966666666666667,0.0,0.0,0.0,0.4966666666666667,0.0,19.1,49.1,45.5,0.0
592,10,6,0.65,0.0,0.0,0.0,0.65,0.0,28.8,58.8,54.0,0.0
593,10,7,0.7300000000000001,0.0,0.0,0.0,0.7300000000000001,0.0,24.9,54.9,55.0,0.0
594,10,6,0.6799999999999999,0.0,0.0,0.0,0.6799999999999999,0.0,26.6,56.6,55.5,0.0
595,10,6,0.5,0.0,0.0,0.0,0.5,0.0,18.0,48.0,45.5,0.0
596,10,6,0.7066666666666668,0.0,0.0,0.0,0.7066666666666668,0.0,31.6,61.6,56.0,0.0
597,10,6,0.73,0.0,0.0,0.0,0.73,0.0,26.1,56.1,54.0,0.0
598,10,8,0.5966666666666667,0.0,0.0,0.0,0.5966666666666667,0.0,19.0,49.0,54.0,0.0
599,10,7,0.7633333333333334,0.0,0.0,0.0,0.7633333333333334,0.0,30.2,60.2,55.5,0.0
600,10,7,0.6266666666666667,0.0,0.0,0.0,0.6266666666666667,0.0,25.9,55.9,54.5,0.0
601,10,7,0.7266666666666667,0.0,0.0,0.0,0.7266666666666667,0.0,30.9,60.9,54.5,0.0
602,10,7,0.7233333333333334,0.0,0.0,0.0,0.7233333333333334,0.0,25.8,55.8,55.0,0.0
603,10,8,0.55,0.0,0.0,0.0,0.55,0.0,20.6,50.6,45.5,0.0
604,10,7,0.6066666666666667,0.0,0.0,0.0,0.6066666666666667,0.0,21.2,51.2,53.0,0.0
605,10,7,0.7266666666666667,0.0,0.0,0.0,0.7266666666666667,0.0,25.9,55.9,55.0,0.0
606,10,5,0.78,0.0,0.0,0.0,0.78,0.0,23.4,53.4,55.0,0.0
607,10,6,0.7533333333333333,0.0,0.0,0.0,0.7533333333333333,0.0,24.8,54.8,55.0,0.0
608,10,7,0.5666666666666667,0.0,0.0,0.0,0.5666666666666667,0.0,18.1,48.1,54.0,0.0
609,10,6,0.8766666666666667,0.0,0.0,0.0,0.8766666666666667,0.0,33.5,63.5,56.0,0.0
610,10,6,0.5433333333333333,0.0,0.0,0.0,0.5433333333333333,0.0,17.4,47.4,46.5,0.0
611,10,6,0.8866666666666667,0.0,0.0,0.0,0.8866666666666667,0.0,44.1,74.1,80.5,0.0
612,10,6,0.78,0.0,0.0,0.0,0.78,0.0,35.9,65.9,71.0,0.0
