horizon,draw,metric,value
10,73,recall,0.990909090909091
10,73,f1,0.8449612403100775
10,74,PR_AUC,0.9556964632291004
10,74,Brier,0.009232456336568263
10,74,precision,0.6942675159235668
10,74,recall,0.990909090909091
10,74,f1,0.8164794007490637
10,75,PR_AUC,0.9564121387367641
10,75,Brier,0.008790636749169802
10,75,precision,0.6395348837209303
10,75,recall,1.0
10,75,f1,0.7801418439716312
10,76,PR_AUC,0.9533670287998585
10,76,Brier,0.010308252118207052
10,76,precision,0.7152317880794702
10,76,recall,0.9818181818181818
10,76,f1,0.8275862068965517
10,77,PR_AUC,0.9857980936094756
10,77,Brier,0.005351489331679885
10,77,precision,0.7414965986394558
10,77,recall,0.990909090909091
10,77,f1,0.8482490272373541
10,78,PR_AUC,0.9838904450478319
10,78,Brier,0.006259464010827656
10,78,precision,0.7218543046357616
10,78,recall,0.990909090909091
10,78,f1,0.8352490421455939
10,79,PR_AUC,0.968601791899012
10,79,Brier,0.008665528958416885
10,79,precision,0.7482993197278912
10,79,recall,1.0
10,79,f1,0.8560311284046692
10,80,PR_AUC,0.9662724012467822
10,80,Brier,0.007362872173446607
10,80,precision,0.7032258064516129
10,80,recall,0.990909090909091
10,80,f1,0.8226415094339623
10,81,PR_AUC,0.9910907650810022
10,81,Brier,0.004623648561147541
10,81,precision,0.7517241379310344
10,81,recall,0.990909090909091
10,81,f1,0.8549019607843137
10,82,PR_AUC,0.967928766701746
10,82,Brier,0.00880316397380422
10,82,precision,0.7032258064516129
10,82,recall,0.990909090909091
10,82,f1,0.8226415094339623
10,83,PR_AUC,0.957686468020681
10,83,Brier,0.009296877511878366
10,83,precision,0.7248322147651006
10,83,recall,0.9818181818181818
10,83,f1,0.833976833976834
10,84,PR_AUC,0.9527615028264519
10,84,Brier,0.01042319583467556
10,84,precision,0.7039473684210527
10,84,recall,0.9727272727272728
10,84,f1,0.816793893129771
10,85,PR_AUC,0.9567464343895846
10,85,Brier,0.009028582823215236
10,85,precision,0.6606060606060606
10,85,recall,0.990909090909091
10,85,f1,0.7927272727272727
10,86,PR_AUC,0.972406101753347
10,86,Brier,0.00876404678256905
10,86,precision,0.7482517482517482
10,86,recall,0.9727272727272728
10,86,f1,0.8458498023715415
10,87,PR_AUC,0.9589005059754379
10,87,Brier,0.009455687823766924
10,87,precision,0.7297297297297297
10,87,recall,0.9818181818181818
10,87,f1,0.8372093023255814
10,88,PR_AUC,0.9758829739794292
10,88,Brier,0.007207554639563585
10,88,precision,0.7032258064516129
10,88,recall,0.990909090909091
10,88,f1,0.8226415094339623
10,89,PR_AUC,0.9643409386902965
10,89,Brier,0.009008898663173599
