partition,engine_id,horizon,n_rows,n_positive,n_negative,prevalence,PR_AUC,Brier,threshold,precision,recall,f1,tp,fp,fn,tn,false_negative_cost,false_positive_cost,total_row_cost,normalized_row_cost
val_calib,43,20,207,21,186,0.10144927536231885,0.9978354978354982,0.011805443075723298,0.22290462955112206,0.7777777777777778,1.0,0.875,21,6,0,180,0.0,6.0,6.0,0.028985507246376812
val_calib,43,30,207,31,176,0.1497584541062802,0.9970043830605744,0.010529954511632227,0.11654045954796569,0.7948717948717948,1.0,0.8857142857142857,31,8,0,168,0.0,8.0,8.0,0.03864734299516908
val_calib,56,10,275,11,264,0.04,0.986013986013986,0.015634195659718207,0.11340399728926802,0.5238095238095238,1.0,0.6875,11,10,0,254,0.0,10.0,10.0,0.03636363636363636
val_calib,56,20,275,21,254,0.07636363636363637,0.8718660357039394,0.008041778960597485,0.22290462955112206,0.7241379310344828,1.0,0.84,21,8,0,246,0.0,8.0,8.0,0.02909090909090909
val_calib,56,30,275,31,244,0.11272727272727273,0.8743000926802094,0.027010914486911824,0.11654045954796569,0.62,1.0,0.7654320987654321,31,19,0,225,0.0,19.0,19.0,0.06909090909090909
val_calib,70,10,137,11,126,0.08029197080291971,1.0,0.01570735601688115,0.11340399728926802,1.0,0.9090909090909091,0.9523809523809523,10,0,1,126,10.0,0.0,10.0,0.072992700729927
val_calib,70,20,137,21,116,0.15328467153284672,0.9446143191665086,0.021292572797304316,0.22290462955112206,0.8076923076923077,1.0,0.8936170212765957,21,5,0,111,0.0,5.0,5.0,0.0364963503649635
val_calib,70,30,137,31,106,0.22627737226277372,0.9603378405977978,0.019825294394162658,0.11654045954796569,0.8611111111111112,1.0,0.9253731343283582,31,5,0,101,0.0,5.0,5.0,0.0364963503649635
val_calib,71,10,208,11,197,0.052884615384615384,0.9924242424242424,0.007373292829203273,0.11340399728926802,0.8461538461538461,1.0,0.9166666666666666,11,2,0,195,0.0,2.0,2.0,0.009615384615384616
val_calib,71,20,208,21,187,0.10096153846153846,0.9880352034487373,0.008478156926439355,0.22290462955112206,0.84,1.0,0.9130434782608695,21,4,0,183,0.0,4.0,4.0,0.019230769230769232
val_calib,71,30,208,31,177,0.14903846153846154,0.9946116631553408,0.00904392311277789,0.11654045954796569,0.8378378378378378,1.0,0.9117647058823529,31,6,0,171,0.0,6.0,6.0,0.028846153846153848
val_calib,73,10,213,11,202,0.051643192488262914,0.986013986013986,0.008870815993522099,0.11340399728926802,0.6111111111111112,1.0,0.7586206896551724,11,7,0,195,0.0,7.0,7.0,0.03286384976525822
val_calib,73,20,213,21,192,0.09859154929577464,1.0000000000000002,0.01172839532394756,0.22290462955112206,0.6,1.0,0.75,21,14,0,178,0.0,14.0,14.0,0.06572769953051644
val_calib,73,30,213,31,182,0.14553990610328638,0.9757392177869388,0.02792021375611345,0.11654045954796569,0.5961538461538461,1.0,0.7469879518072289,31,21,0,161,0.0,21.0,21.0,0.09859154929577464
val_calib,84,10,267,11,256,0.04119850187265917,1.0,0.003229730394645071,0.11340399728926802,0.6111111111111112,1.0,0.7586206896551724,11,7,0,249,0.0,7.0,7.0,0.026217228464419477
val_calib,84,20,267,21,246,0.07865168539325842,0.9740362811791383,0.015754877339259715,0.22290462955112206,0.9047619047619048,0.9047619047619048,0.9047619047619048,19,2,2,244,20.0,2.0,22.0,0.08239700374531835
val_calib,84,30,267,31,236,0.11610486891385768,0.9947689625108979,0.020104494989135448,0.11654045954796569,1.0,0.967741935483871,0.9836065573770492,30,0,1,236,10.0,0.0,10.0,0.03745318352059925
val_calib,97,10,202,11,191,0.054455445544554455,1.0,0.0014666790853593119,0.11340399728926802,0.9166666666666666,1.0,0.9565217391304348,11,1,0,190,0.0,1.0,1.0,0.0049504950495049506
val_calib,97,20,202,21,181,0.10396039603960396,0.9935916395543727,0.007724655380241415,0.22290462955112206,0.84,1.0,0.9130434782608695,21,4,0,177,0.0,4.0,4.0,0.019801980198019802
val_calib,97,30,202,31,171,0.15346534653465346,0.9989919354838709,0.01323167618301273,0.11654045954796569,1.0,0.967741935483871,0.9836065573770492,30,0,1,171,10.0,0.0,10.0,0.04950495049504951
