horizon,model,representation,window,include_settings,class_weight,C,n_features,train_positive_rate,tune_positive_rate,tune_PR_AUC,tune_Brier,fit_time_seconds,inference_us_per_row
10,logistic,window,30.0,True,none,0.1,123,0.05307782449851796,0.053684724255734506,0.9662783527034631,0.007695887541912832,0.17471014900002046,0.30415226961142305
10,logistic,window,30.0,True,none,1.0,123,0.05307782449851796,0.053684724255734506,0.9313717065384194,0.008562595928129439,0.4371356650008238,0.48123840902183274
10,logistic,window,30.0,True,none,10.0,123,0.05307782449851796,0.053684724255734506,0.9101767270308553,0.01023191718856941,1.0061639010000363,0.5156783798311007
10,logistic,window,30.0,True,balanced,0.1,123,0.05307782449851796,0.053684724255734506,0.9504728361867456,0.07700975965421943,0.15834494800037646,2.1242025376944325
10,logistic,window,30.0,True,balanced,1.0,123,0.05307782449851796,0.053684724255734506,0.9609392833307842,0.04042141205289586,0.1796666019999975,0.4325151293054839
10,logistic,window,30.0,True,balanced,10.0,123,0.05307782449851796,0.053684724255734506,0.9687134873218175,0.023449529030778817,0.14227724200100056,0.4102122987105044
20,logistic,baseline,,False,none,0.1,15,0.10133039222444337,0.10248901903367497,0.9615072745363507,0.01728782014961871,0.03165536000051361,0.1646927769168945
20,logistic,baseline,,False,none,1.0,15,0.10133039222444337,0.10248901903367497,0.9609706118483998,0.017402278346176078,0.036017537999214255,0.1607308444418338
20,logistic,baseline,,False,none,10.0,15,0.10133039222444337,0.10248901903367497,0.9608270551238474,0.01742787341319269,0.019887309001205722,0.13871181081586054
20,logistic,baseline,,False,balanced,0.1,15,0.10133039222444337,0.10248901903367497,0.960305626498245,0.15939601787066243,0.034766857999784406,0.19683626161962897
20,logistic,baseline,,False,balanced,1.0,15,0.10133039222444337,0.10248901903367497,0.9608136322178766,0.0650674556779908,0.02783029300007911,0.2135468520916507
20,logistic,baseline,,False,balanced,10.0,15,0.10133039222444337,0.10248901903367497,0.9615000982557558,0.03857926100786252,0.031773513999723946,0.20830453883455075
20,logistic,baseline,,True,none,0.1,17,0.10133039222444337,0.10248901903367497,0.9611107721849282,0.01743121328222461,0.031107308001082856,0.17120058524870396
20,logistic,baseline,,True,none,1.0,17,0.10133039222444337,0.10248901903367497,0.9605867605890628,0.017561238464389978,0.026986545999534428,0.36231844797884416
20,logistic,baseline,,True,none,10.0,17,0.10133039222444337,0.10248901903367497,0.9604394116917243,0.017588625880700808,0.031766751999384724,0.2362264518526834
20,logistic,baseline,,True,balanced,0.1,17,0.10133039222444337,0.10248901903367497,0.9603338133104117,0.15939134858372092,0.019356012999196537,0.17268814040145555
20,logistic,baseline,,True,balanced,1.0,17,0.10133039222444337,0.10248901903367497,0.9607637416992388,0.06505548110129562,0.02731828600008157,0.1704270371454136
20,logistic,baseline,,True,balanced,10.0,17,0.10133039222444337,0.10248901903367497,0.9614638078219991,0.038545098489682954,0.03321899299953657,0.4339907269776249
20,logistic,window,5.0,False,none,0.1,121,0.10133039222444337,0.10248901903367497,0.965562767933367,0.01615276847418473,0.11772724300135451,0.34515836960089513
20,logistic,window,5.0,False,none,1.0,121,0.10133039222444337,0.10248901903367497,0.9643929934550111,0.016265691998936606,0.31638105300044117,0.2857220594668881
20,logistic,window,5.0,False,none,10.0,121,0.10133039222444337,0.10248901903367497,0.9624729695541903,0.016546253499092056,0.9603424639990408,0.3096652025953567
20,logistic,window,5.0,False,balanced,0.1,121,0.10133039222444337,0.10248901903367497,0.9679024757863122,0.07879972731047749,0.06550410199997714,0.35039092254613696
20,logistic,window,5.0,False,balanced,1.0,121,0.10133039222444337,0.10248901903367497,0.9685058686130159,0.041124284624451064,0.09161098199911066,0.5747986825021905
20,logistic,window,5.0,False,balanced,10.0,121,0.10133039222444337,0.10248901903367497,0.9685734417211316,0.030034439504987735,0.1197487760000513,0.7090390436235111
20,logistic,window,5.0,True,none,0.1,123,0.10133039222444337,0.10248901903367497,0.9655583006562221,0.016166489335705816,0.19265421900126967,0.7128106395863354
20,logistic,window,5.0,True,none,1.0,123,0.10133039222444337,0.10248901903367497,0.9644079368850801,0.016253995303336464,0.3395959909994417,0.312956564049766
20,logistic,window,5.0,True,none,10.0,123,0.10133039222444337,0.10248901903367497,0.9625583725890003,0.016517958820113966,0.960354416998598,0.3387840412682233
20,logistic,window,5.0,True,balanced,0.1,123,0.10133039222444337,0.10248901903367497,0.9678884754509794,0.07879747103363438,0.08083690499915974,0.35402122990523904
20,logistic,window,5.0,True,balanced,1.0,123,0.10133039222444337,0.10248901903367497,0.9685163288209858,0.041114116716518094,0.11012566200042784,0.4140724743083606
20,logistic,window,5.0,True,balanced,10.0,123,0.10133039222444337,0.10248901903367497,0.9685563232192121,0.029994241157383462,0.09283241800039832,0.40861371418454046
20,logistic,window,15.0,False,none,0.1,121,0.10133039222444337,0.10248901903367497,0.964844682767989,0.016943173715952983,0.16760161399906792,0.31286285990700735
20,logistic,window,15.0,False,none,1.0,121,0.10133039222444337,0.10248901903367497,0.9643511275908071,0.016550498530528163,0.30368914700011373,0.3991930211417872
20,logistic,window,15.0,False,none,10.0,121,0.10133039222444337,0.10248901903367497,0.9641541150107443,0.01384776155360378,0.8958558550002635,0.5513904341142282
20,logistic,window,15.0,False,balanced,0.1,121,0.10133039222444337,0.10248901903367497,0.961228828774262,0.07992172379727261,0.08690416900026321,0.3478645682008494
20,logistic,window,15.0,False,balanced,1.0,121,0.10133039222444337,0.10248901903367497,0.9630833093267291,0.04227495332536374,0.07063175999974192,0.4157742804906973
20,logistic,window,15.0,False,balanced,10.0,121,0.10133039222444337,0.10248901903367497,0.9657862236986242,0.029187378731556277,0.0830730069992569,0.3784814547279099
20,logistic,window,15.0,True,none,0.1,123,0.10133039222444337,0.10248901903367497,0.9649761659386941,0.01695878674347264,0.1287831539993931,0.2878494390378035
20,logistic,window,15.0,True,none,1.0,123,0.10133039222444337,0.10248901903367497,0.9647598351546437,0.016561079417244592,0.37613292199966963,0.2806864323207778
20,logistic,window,15.0,True,none,10.0,123,0.10133039222444337,0.10248901903367497,0.9640599749922247,0.013850216936445439,1.3017813129990827,0.5191593462959072
20,logistic,window,15.0,True,balanced,0.1,123,0.10133039222444337,0.10248901903367497,0.9612253323487808,0.07991942418716926,0.06816099599927838,0.4663211321500264
20,logistic,window,15.0,True,balanced,1.0,123,0.10133039222444337,0.10248901903367497,0.9630737541163769,0.04226546894942832,0.10107895600049233,0.39103806730360474
