model,representation,cap,hparams,n_feat_in,n_feat_used,tune_PHM_mean_dev,tune_MAE_dev,tune_RMSE_dev,tune_R2_dev,tune_nearfail_MAE,diag_tune_PHM_mean_capped,diag_tune_MAE_capped
gbr,baseline,100,"{'n_estimators': 150, 'learning_rate': 0.05, 'max_depth': 3}",15,15,4.695002647430853,11.364901155638258,15.212370334037658,0.7277456339059893,6.262200724242229,2.69978235533122,7.996464601746565
ridge,window,125,{'alpha': 0.1},121,121,7.325519749403159,15.003610179404808,18.461397798463487,0.5990315192081029,9.980921294758861,7.4019189327660895,14.431536760067077
ridge,window,125,{'alpha': 1.0},121,121,7.3287423870806485,15.005886940510015,18.46468033209905,0.5988889179216407,9.977522285023282,7.37092519812143,14.428834049130213
ridge,window,125,{'alpha': 10.0},121,121,7.333912247654171,15.011523171198627,18.473638760727873,0.5984996128683915,9.965534895821433,7.186847835668397,14.40909770347146
ridge,baseline,125,{'alpha': 0.1},15,15,9.048471212793407,16.501508008732582,19.83982603809706,0.5369191797388775,12.649292347313722,6.818669593540134,15.059917156614333
ridge,baseline,125,{'alpha': 1.0},15,15,9.04850131740675,16.501601792643633,19.839892122427262,0.536916094788763,12.649510797188636,6.818661568156522,15.059915366698299
ridge,baseline,125,{'alpha': 10.0},15,15,9.048804699534594,16.502539045897613,19.840553269984895,0.5368852305186962,12.651693584551332,6.81858484829487,15.059899111242354
poly2,baseline,125,{'alpha': 10.0},15,135,9.785702544027792,15.231222627421333,19.445033770671,0.5551654843028994,9.38581129902627,6.689406768036873,14.263037325742328
gbr,window,125,"{'n_estimators': 150, 'learning_rate': 0.05, 'max_depth': 3}",121,121,9.7890652399696,13.948815586587335,18.369635664327916,0.6030076300704139,5.713615743342882,5.829284497038787,11.57194245314693
poly2,baseline,125,{'alpha': 1.0},15,135,9.790229263246493,15.229218109984748,19.444926972655036,0.5551703706213089,9.382389176557728,6.694327735158011,14.266549921872521
poly2,baseline,125,{'alpha': 0.1},15,135,9.79082475206877,15.229109962549341,19.444979611513627,0.5551679622444933,9.382065475527513,6.6949399373574705,14.26701481096163
gbr,window,125,"{'n_estimators': 150, 'learning_rate': 0.1, 'max_depth': 3}",121,121,10.470146846768172,13.83869215945455,18.355003606076686,0.6036398148481317,5.784316116945582,6.275709729800254,11.613549746931852
rf,window,125,"{'n_estimators': 100, 'min_samples_leaf': 3}",121,121,11.241064803194087,13.776582861592495,18.913099383306324,0.5791702020202092,5.652888729749214,6.97943955181759,11.888411171905213
rf,window,125,"{'n_estimators': 100, 'min_samples_leaf': 5}",121,121,11.786112982934268,13.909355105271828,19.092450359571284,0.5711509873733016,5.706143651689102,7.222770785809382,11.851652516938962
gbr,baseline,125,"{'n_estimators': 150, 'learning_rate': 0.1, 'max_depth': 3}",15,15,12.661628517625578,15.16824680827326,20.104054262661574,0.5245023555340695,6.321096957613704,7.513986228153349,12.362158726760551
gbr,baseline,125,"{'n_estimators': 150, 'learning_rate': 0.05, 'max_depth': 3}",15,15,12.98562177070022,15.342999592233912,20.31802928221956,0.5143266895139631,6.32291667011123,7.666248391613286,12.481418142618116
rf,baseline,125,"{'n_estimators': 100, 'min_samples_leaf': 3}",15,15,13.297775989894836,14.975520402805875,20.019398491319777,0.5284984518185216,6.617421880716532,7.934115339393382,12.461635499359586
rf,baseline,125,"{'n_estimators': 100, 'min_samples_leaf': 5}",15,15,13.47436950482885,15.005071709543222,20.062545305551584,0.526463853956106,6.585074391293462,7.998868545299862,12.424807729438172
ridge,window,150,{'alpha': 10.0},121,121,16.85338977341287,18.735436501066363,23.14038367286942,0.37002663937929237,10.223661291234524,25.311929971913642,18.13114267824403
ridge,window,150,{'alpha': 0.1},121,121,16.864534649849475,18.727445684127588,23.12916795830053,0.3706371641843812,10.239493522916957,27.821653320921293,18.144804598653867
ridge,window,150,{'alpha': 1.0},121,121,16.87128855150829,18.729141332753173,23.1329241331865,0.3704327306449855,10.233025388783274,27.439662179425802,18.142582756177042
ridge,baseline,150,{'alpha': 10.0},15,15,21.140293212391725,20.71792584340323,24.93709311552188,0.2684016317032838,12.691768679029655,15.665411359761908,18.790092516440453
ridge,baseline,150,{'alpha': 1.0},15,15,21.141831446045522,20.716907166833302,24.936581959628143,0.26843162373029217,12.689840573349565,15.666445203754252,18.789691333709737
ridge,baseline,150,{'alpha': 0.1},15,15,21.141986730943206,20.716805193463852,24.936530903975104,0.26843461938246416,12.689647698590994,15.666549800871438,18.789651224522814
poly2,baseline,150,{'alpha': 10.0},15,135,21.65810870091959,18.201583128276916,23.59899759963849,0.3448086026967727,9.109615533599039,15.405352757209094,17.822286027848527
