bin_id,lo,hi,count,mean_pred,frac_pos,horizon,stage,absolute_calibration_gap
1,1.5075769609929037e-14,4.976762150998752e-12,202,1.5880161532875986e-12,0.0,10,platt_monotone,1.5880161532875986e-12
2,4.976762150998752e-12,5.172345615748412e-11,203,1.661852391270801e-11,0.0,10,platt_monotone,1.661852391270801e-11
3,5.172345615748412e-11,2.428346290925297e-10,202,1.5046255231809423e-10,0.0,10,platt_monotone,1.5046255231809423e-10
4,2.428346290925297e-10,7.151310613953058e-10,203,4.129258489969552e-10,0.0,10,platt_monotone,4.129258489969552e-10
5,7.151310613953058e-10,5.733170344500356e-09,203,2.365674105867415e-09,0.0,10,platt_monotone,2.365674105867415e-09
6,5.733170344500356e-09,7.682660635970475e-08,202,2.4856048881923217e-08,0.0,10,platt_monotone,2.4856048881923217e-08
7,7.682660635970475e-08,7.392176965654259e-06,202,1.3628394114693245e-06,0.0,10,platt_monotone,1.3628394114693245e-06
8,7.392176965654259e-06,0.010035767362277466,203,0.001200100107305966,0.0,10,platt_monotone,0.001200100107305966
9,0.010035767362277466,0.9999994964185244,203,0.5406704483801517,0.541871921182266,10,platt_monotone,0.0012014728021143561
0,1.7089408088089846e-24,1.6348428791198972e-10,203,3.1809278533498086e-11,0.0,20,raw,3.1809278533498086e-11
1,1.6348428791198972e-10,1.0096721948212821e-08,202,2.7339462440890253e-09,0.0,20,raw,2.7339462440890253e-09
2,1.0096721948212821e-08,6.425489828196363e-08,203,3.265042216312253e-08,0.0,20,raw,3.265042216312253e-08
3,6.425489828196363e-08,2.0887610057566208e-07,202,1.1910907652703345e-07,0.0,20,raw,1.1910907652703345e-07
4,2.0887610057566208e-07,8.744768049626555e-07,203,4.797236586074906e-07,0.0,20,raw,4.797236586074906e-07
5,8.744768049626555e-07,5.597240026344529e-06,203,2.466953384751942e-06,0.0,20,raw,2.466953384751942e-06
6,5.597240026344529e-06,3.903385130294662e-05,202,1.6519845376894906e-05,0.0,20,raw,1.6519845376894906e-05
7,3.903385130294662e-05,0.0024152112826538188,202,0.0006496478756855844,0.0,20,raw,0.0006496478756855844
8,0.0024152112826538188,0.6087217761099575,203,0.15449443311537236,0.08866995073891626,20,raw,0.0658244823764561
9,0.6087217761099575,1.0,203,0.9436511416044867,0.9458128078817734,20,raw,0.0021616662772866446
0,1.76860659307547e-24,1.6024096314446177e-10,203,3.1221593482003124e-11,0.0,20,platt,3.1221593482003124e-11
1,1.6024096314446177e-10,9.82775445453707e-09,202,2.664610796045334e-09,0.0,20,platt,2.664610796045334e-09
2,9.82775445453707e-09,6.234807356903236e-08,203,3.17105465337585e-08,0.0,20,platt,3.17105465337585e-08
3,6.234807356903236e-08,2.0227446568255918e-07,202,1.154422543617866e-07,0.0,20,platt,1.154422543617866e-07
4,2.0227446568255918e-07,8.447935477518679e-07,203,4.6384976596139034e-07,0.0,20,platt,4.6384976596139034e-07
5,8.447935477518679e-07,5.3903254087375486e-06,203,2.378529572457522e-06,0.0,20,platt,2.378529572457522e-06
6,5.3903254087375486e-06,3.746784656590805e-05,202,1.587622397591801e-05,0.0,20,platt,1.587622397591801e-05
7,3.746784656590805e-05,0.0023024711562447345,202,0.0006201900193182638,0.0,20,platt,0.0006201900193182638
8,0.0023024711562447345,0.5946250189876952,203,0.14893484841061194,0.08866995073891626,20,platt,0.06026489767169568
9,0.5946250189876952,1.0,203,0.9409242819116906,0.9458128078817734,20,platt,0.004888525970082713
0,4.8250695889799727e-23,1.6024096314446177e-10,203,3.132071212562789e-11,0.0,20,platt_monotone,3.132071212562789e-11
1,1.6024096314446177e-10,9.82775445453707e-09,202,2.664610796045334e-09,0.0,20,platt_monotone,2.664610796045334e-09
2,9.82775445453707e-09,6.234807356903236e-08,203,3.17105465337585e-08,0.0,20,platt_monotone,3.17105465337585e-08
