draw_id,n_sampled_engines,n_unique_engines,mean_total_cost,miss_rate,mean_miss_component,mean_late_component,mean_early_component,mean_lead_time_if_alerted,median_lead_time_if_alerted,healthy_first_trigger_fraction
751,10,6,0.47999999999999987,0.0,0.0,0.13333333333333333,0.34666666666666657,40.9,38.5,0.0
752,10,7,0.6633333333333333,0.0,0.0,0.13333333333333333,0.53,47.7,46.0,0.0
753,10,7,0.3033333333333333,0.0,0.0,0.0,0.3033333333333333,39.1,39.0,0.0
754,10,6,0.5966666666666666,0.0,0.0,0.26666666666666666,0.33,38.3,39.0,0.0
755,10,8,0.5833333333333333,0.0,0.0,0.13333333333333333,0.45,44.0,43.5,0.0
756,10,8,0.5399999999999999,0.0,0.0,0.13333333333333333,0.4066666666666666,42.7,43.0,0.0
757,10,5,0.7,0.0,0.0,0.4,0.29999999999999993,36.6,39.0,0.0
758,10,7,0.5866666666666667,0.0,0.0,0.0,0.5866666666666667,51.5,46.0,0.0
759,10,7,0.45,0.0,0.0,0.0,0.45,44.8,41.5,0.0
760,10,5,0.5299999999999999,0.0,0.0,0.0,0.5299999999999999,49.8,46.0,0.0
761,10,7,0.4966666666666666,0.0,0.0,0.13333333333333333,0.3633333333333333,41.4,39.0,0.0
762,10,8,0.5566666666666666,0.0,0.0,0.13333333333333333,0.42333333333333334,43.2,43.0,0.0
763,10,8,0.5700000000000001,0.0,0.0,0.13333333333333333,0.43666666666666665,43.6,43.5,0.0
764,10,6,0.4666666666666667,0.0,0.0,0.0,0.4666666666666667,45.3,44.0,0.0
765,10,7,0.4499999999999999,0.0,0.0,0.13333333333333333,0.3166666666666666,38.7,40.5,0.0
766,10,5,0.3966666666666666,0.0,0.0,0.0,0.3966666666666666,41.9,41.5,0.0
767,10,6,0.5666666666666667,0.0,0.0,0.13333333333333333,0.43333333333333324,44.8,38.0,0.0
768,10,6,0.59,0.0,0.0,0.13333333333333333,0.45666666666666667,45.5,40.5,0.0
769,10,7,0.3733333333333333,0.0,0.0,0.0,0.3733333333333333,42.5,40.5,0.0
770,10,7,0.53,0.0,0.0,0.13333333333333333,0.3966666666666666,41.1,44.0,0.0
771,10,8,0.44000000000000006,0.0,0.0,0.0,0.44000000000000006,44.5,43.5,0.0
772,10,7,0.6633333333333333,0.0,0.0,0.13333333333333333,0.53,49.0,43.5,0.0
773,10,7,0.4366666666666667,0.0,0.0,0.0,0.4366666666666667,44.4,44.0,0.0
774,10,6,0.5433333333333332,0.0,0.0,0.13333333333333333,0.41,41.5,44.5,0.0
775,10,7,0.65,0.0,0.0,0.13333333333333333,0.5166666666666666,47.3,47.0,0.0
776,10,7,0.5833333333333333,0.0,0.0,0.26666666666666666,0.3166666666666666,37.9,39.5,0.0
777,10,6,0.6699999999999999,0.0,0.0,0.26666666666666666,0.4033333333333333,43.1,42.0,0.0
778,10,7,0.5266666666666666,0.0,0.0,0.13333333333333333,0.3933333333333333,41.0,43.0,0.0
779,10,9,0.6,0.0,0.0,0.13333333333333333,0.4666666666666666,44.5,44.5,0.0
780,10,7,0.38999999999999996,0.0,0.0,0.0,0.38999999999999996,41.7,43.0,0.0
781,10,5,0.4833333333333333,0.0,0.0,0.0,0.4833333333333333,45.8,43.0,0.0
782,10,7,0.5,0.0,0.0,0.0,0.5,46.3,44.5,0.0
783,10,7,0.5633333333333332,0.0,0.0,0.13333333333333333,0.43000000000000005,42.1,44.5,0.0
784,10,7,0.5033333333333333,0.0,0.0,0.13333333333333333,0.37,41.6,42.0,0.0
785,10,8,0.6033333333333333,0.0,0.0,0.13333333333333333,0.47000000000000003,45.9,44.0,0.0
786,10,6,0.41666666666666663,0.0,0.0,0.0,0.41666666666666663,43.8,41.5,0.0
787,10,6,0.5066666666666666,0.0,0.0,0.0,0.5066666666666666,47.8,47.0,0.0
788,10,6,0.6133333333333333,0.0,0.0,0.13333333333333333,0.48,44.9,45.0,0.0
789,10,5,0.3533333333333333,0.0,0.0,0.0,0.3533333333333333,41.9,42.0,0.0
790,10,7,0.6699999999999999,0.0,0.0,0.26666666666666666,0.4033333333333333,41.8,42.0,0.0
